	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
APAP	1	1	1	1	1	1	1	1	1	1	1	1
COMW	1	1	1	1	1	1	1	1	1	1	1	1
HOFI	1	1	1	1	1	1	1	1	1	1	1	1
HWAM	0	1	1	1	1	1	1	1	1	1	1	1
JABW	1	1	1	1	1	1	1	1	1	1	1	1
JAWE	1	1	1	1	1	1	1	1	1	1	1	1
NOCA	1	1	1	1	1	1	1	1	1	1	1	1
OAAM	1	1	1	1	1	1	1	1	1	1	1	1
RBLE	1	1	1	1	1	1	1	1	1	1	1	1
RCCA	1	1	1	1	1	1	1	1	1	1	1	1
RVBU	1	1	1	1	1	1	1	1	1	1	1	1
RWBU	1	1	1	1	1	1	1	1	1	1	1	1
SPDO	1	1	1	1	1	1	1	1	1	1	1	1
WRSH	1	1	1	1	1	1	1	1	1	1	1	1
ZEDO	1	1	1	1	1	1	1	1	1	1	1	1
ERFR	1	1	1	1	1	1	1	1	1	1	1	1
KAPH	1	1	1	1	1	1	1	1	1	1	1	1
