	APAP	COMW	HOFI	HWAM	JABW	JAWE	NOCA	OAAM	RBLE	RCCA	RVBU	RWBU	SPDO	WRSH	ZEDO	ERFR	KAPH
ARDELL	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
ARECAC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
BISJAV	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CARRET	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
CECOBT	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
CESNOC	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
CHEPLA	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CHETRI	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CINBUR	0	0	0	0	0	2	0	0	6	0	0	3	0	0	0	0	0
CITCAU	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
CLEKAK	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
CLIHIR	3	0	1	1	1	133	8	1	424	2	4	61	0	12	1	2	1
CYAANG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DIASAN	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
FICUS	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
FREARB	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HEDGAR	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0
ILEANO	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0
LANCAM	0	0	0	0	0	6	0	0	4	0	0	2	0	0	0	0	0
LEPTAM	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	3
MACMAP	0	0	0	0	0	7	0	0	8	0	0	3	0	0	0	0	0
MACTAN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MELICO	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MOMCHA	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
MYRLES	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PAEFOE	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
PASEDU	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
PASSUB	0	0	0	0	0	10	0	0	25	0	3	5	0	0	0	0	0
PERSAN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PIPALB	0	0	0	0	0	26	0	0	28	0	4	26	0	0	0	0	2
PSICAT	0	0	0	0	0	31	0	0	42	0	1	6	0	1	0	9	3
PSIGUA	0	0	0	0	0	8	1	0	27	0	0	2	0	0	1	11	0
PSYODO	0	0	0	0	0	4	0	0	7	0	0	1	0	0	0	0	1
RIVHUM	0	1	0	0	0	16	0	0	12	0	1	0	0	1	0	0	0
RUBARG	0	0	0	0	0	24	0	0	12	0	0	1	0	0	0	0	0
RUBROS	0	0	0	0	0	66	0	0	174	0	3	29	0	3	0	62	14
SCHACT	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0
SCHTER	0	0	0	0	0	63	0	0	63	0	1	10	0	0	0	0	0
SYZCUM	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TOULAT	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
TREORI	0	0	0	0	1	76	0	0	155	0	7	49	2	2	0	0	0
Unk_101	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Unk_74	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0
VACCAL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
