	abund
ARDELL	0.00378057469409538
ARECAC	0.00321630981437965
BISJAV	0.00000001
CARRET	0.00000001
CECOBT	0.00000001
CESNOC	0.000145096683355473
CHEPLA	0.000981820890705368
CHETRI	0.00000001
CINBUR	0.0472289704322065
CITCAU	0.000677117855658874
CLEKAK	0.0000009
CLIHIR	0.279161782262097
CYAANG	0.00000001
DIASAN	0.000346754954015252
FICUS	0.0114856739109641
FREARB	0.00000001
HEDGAR	0.000282132439857864
ILEANO	0.00005
LANCAM	0.00000001
LEPTAM	0.00005
MACMAP	0.00000001
MACTAN	0.00000001
MELICO	0.00191850059103348
MOMCHA	0.00000001
MYRLES	0.00000001
PAEFOE	0.00000004
PASEDU	0.00000001
PASSUB	0.00640053183869424
PERSAN	0.00000001
PIPALB	0.000545328099171981
PSICAT	0.145486294820039
PSIGUA	0.00516232341494247
PSYODO	0.000225705951886291
RIVHUM	0.00902823807545166
RUBARG	0.00003
RUBROS	0.04921929073065
SCHACT	0.00631976665281616
SCHTER	0.426414969601176
SYZCUM	0.00000001
TOULAT	0.00000001
TREORI	0.00101567678
Unk_101	0.00000001
Unk_74	0.00000001
VACCAL	0.00000001
