	EKA	KAH	MOA	MTK	PAH	TAN	WAI
ARDELL	0	0	1	0	0	1	1
ARECAC	0	0	1	0	0	0	0
BISJAV	0	0	0	0	0	1	1
CARRET	0	0	1	0	0	1	0
CECOBT	0	0	0	0	0	1	1
CESNOC	0	0	0	1	0	1	0
CHEPLA	0	0	0	1	0	0	0
CHETRI	0	0	0	1	0	1	0
CINBUR	0	0	0	0	0	1	0
CITCAU	0	0	0	0	0	1	0
CLEKAK	1	0	0	0	0	1	0
CLIHIR	1	1	1	1	1	1	1
CYAANG	0	0	0	0	0	1	0
DIASAN	0	1	0	1	1	0	1
FICUS	0	1	1	0	0	1	1
FREARB	0	0	0	0	1	1	0
HEDGAR	0	1	1	0	1	1	0
ILEANO	0	1	0	1	1	1	0
LANCAM	1	1	1	0	1	0	1
LEPTAM	1	1	0	1	1	0	1
MACMAP	0	0	1	0	0	0	1
MACTAN	0	0	0	0	0	0	1
MELICO	0	0	0	1	0	0	0
MOMCHA	0	0	1	0	0	0	0
MYRLES	0	1	0	0	1	0	0
PAEFOE	1	0	1	0	0	1	0
PASEDU	1	1	1	0	0	0	1
PASSUB	1	1	1	0	1	0	1
PERSAN	0	0	0	0	0	0	0
PIPALB	0	0	0	1	0	0	0
PSICAT	1	1	1	1	1	1	1
PSIGUA	1	1	1	0	1	1	0
PSYODO	1	1	0	0	1	0	1
RIVHUM	1	1	1	1	1	1	0
RUBARG	0	0	0	1	0	0	0
RUBROS	1	1	1	1	1	1	1
SCHACT	1	1	1	0	0	1	1
SCHTER	1	1	1	1	1	1	1
SYZCUM	1	0	1	0	0	1	1
TOULAT	0	1	0	0	0	1	0
TREORI	1	1	1	1	1	1	1
Unk_101	0	0	1	0	0	0	0
Unk_74	0	0	0	0	0	1	1
VACCAL	0	0	0	1	0	0	0
