	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
ARDELL	1	1	1	1	1	1	0	0	0	1	1	1
ARECAC	0	1	0	1	1	1	1	0	0	1	0	0
BISJAV	1	1	1	1	0	1	0	0	0	1	1	1
CARRET	1	0	0	0	0	0	1	1	0	0	0	0
CECOBT	0	0	0	0	0	1	0	1	0	0	1	0
CESNOC	0	1	0	0	0	0	0	0	1	1	0	0
CHEPLA	0	0	0	1	1	1	1	0	0	1	0	1
CHETRI	1	0	0	0	0	0	0	0	0	0	0	0
CINBUR	1	1	1	1	0	0	1	1	0	1	1	1
CITCAU	1	1	1	0	0	0	0	1	0	0	1	0
CLEKAK	1	0	1	1	1	1	0	1	1	0	1	0
CLIHIR	1	1	1	1	1	1	1	1	1	1	1	1
CYAANG	0	1	0	0	0	0	1	0	0	0	0	0
DIASAN	0	0	1	1	1	1	1	1	1	1	1	1
FICUS	1	1	1	1	1	0	0	1	1	1	1	1
FREARB	0	1	0	0	0	1	0	0	0	0	1	1
HEDGAR	0	1	1	1	0	0	1	0	0	0	1	0
ILEANO	1	1	0	0	0	0	0	0	0	0	1	0
LANCAM	1	1	0	0	1	1	1	1	1	1	0	1
LEPTAM	1	1	1	1	1	1	1	1	1	1	1	1
MACMAP	0	0	0	0	1	1	0	0	0	0	0	0
MACTAN	0	0	0	0	0	0	0	0	1	0	0	0
MELICO	1	0	1	1	0	0	0	1	0	0	0	1
MOMCHA	0	0	0	0	1	0	1	0	0	0	0	0
MYRLES	0	0	0	0	1	1	0	0	0	0	0	0
PAEFOE	1	1	1	0	0	0	0	1	0	1	1	1
PASEDU	1	1	0	0	0	0	1	1	0	0	0	0
PASSUB	1	1	1	1	1	1	1	1	1	1	1	1
PERSAN	0	0	0	1	0	0	0	0	0	0	0	0
PIPALB	1	1	1	1	1	1	1	1	1	1	1	1
PSICAT	1	1	1	1	1	1	1	1	1	1	1	1
PSIGUA	1	1	1	1	1	1	1	1	1	1	1	1
PSYODO	1	1	1	0	0	0	0	0	0	1	0	0
RIVHUM	1	1	0	0	1	1	1	1	1	1	1	1
RUBARG	0	1	0	1	0	1	1	1	1	1	0	0
RUBROS	1	1	1	1	1	1	1	1	1	1	1	1
SCHACT	0	1	1	1	1	1	1	1	0	1	1	1
SCHTER	1	1	1	1	1	1	1	1	1	1	1	1
SYZCUM	1	1	1	0	0	0	0	1	0	1	1	1
TOULAT	1	0	1	0	0	0	1	1	0	1	0	1
TREORI	1	1	1	1	1	1	1	1	1	1	1	1
Unk_101	0	0	0	0	1	0	0	0	0	0	0	0
Unk_74	0	0	1	1	0	1	1	0	0	0	0	0
VACCAL	1	0	1	1	1	1	0	1	1	1	1	1
